Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Jonathan Guilmette,Canada,2002,Short-Track Speed Skating,1,1,0,2
Wang Chunlu,China,2002,Short-Track Speed Skating,0,1,1,2
Sven Kramer,Netherlands,2010,Speed Skating,1,0,1,2
Shani Davis,United States,2006,Speed Skating,1,1,0,2
Lee Bo-Na,South Korea,2004,Shooting,0,1,1,2
Louis Smith,Great Britain,2012,Gymnastics,0,1,1,2
Chen Yibing,China,2008,Gymnastics,2,0,0,2
Anton Golotsutskov,Russia,2008,Gymnastics,0,0,2,2
Xiao Qin,China,2008,Gymnastics,2,0,0,2
Hiroyuki Tomita,Japan,2004,Gymnastics,1,1,0,2
Mariel Zagunis,United States,2008,Fencing,1,0,1,2
Maureen Nisima,France,2004,Fencing,0,0,2,2
Rita König,Germany,2000,Fencing,0,1,1,2
David Boudia,United States,2012,Diving,1,0,1,2
Mathew Helm,Australia,2004,Diving,0,1,1,2
Anna Haag,Sweden,2010,Cross Country Skiing,0,2,0,2
Yevgeny Dementyev,Russia,2006,Cross Country Skiing,1,1,0,2
Franziska Weber,Germany,2012,Canoeing,1,1,0,2
Petar Merkov,Bulgaria,2000,Canoeing,0,2,0,2
Marie Dorin,France,2010,Biathlon,0,1,1,2
Lalonde Gordon,Trinidad and Tobago,2012,Athletics,0,0,2,2
Tirunesh Dibaba,Ethiopia,2008,Athletics,2,0,0,2
Sanya Richards-Ross,United States,2008,Athletics,1,0,1,2
Jared Tallent,Australia,2008,Athletics,0,1,1,2
Richard Thompson,Trinidad and Tobago,2008,Athletics,0,2,0,2
Nataliya Antyukh,Russia,2004,Athletics,0,1,1,2
Benjamin Raich,Austria,2002,Alpine Skiing,0,0,2,2
Yun Ok-Hui,South Korea,2008,Archery,1,0,1,2
Damian Janikowski,Poland,2012,Wrestling,0,0,1,1
Alan Khugayev,Russia,2012,Wrestling,1,0,0,1
Kim Hyeon-Wu,South Korea,2012,Wrestling,1,0,0,1
S?rif S?rifov,Azerbaijan,2012,Wrestling,1,0,0,1
Yang Kyong-Il,North Korea,2012,Wrestling,0,0,1,1
Zoltán Fodor,Hungary,2008,Wrestling,0,1,0,1
Nazyr Mankiyev,Russia,2008,Wrestling,1,0,0,1
Sharvani Muradov,Russia,2008,Wrestling,1,0,0,1
Vitaliy R?himov,Azerbaijan,2008,Wrestling,0,1,0,1
Yavor Yanakiev,Bulgaria,2008,Wrestling,0,0,1,1
Kenichi Yumoto,Japan,2008,Wrestling,0,0,1,1
Sara McMann,United States,2004,Wrestling,0,1,0,1
Georgy Tsurtsumia,Kazakhstan,2004,Wrestling,0,1,0,1
Sándor István Bárdosi,Hungary,2000,Wrestling,0,1,0,1
Ali Reza Dabir,Iran,2000,Wrestling,1,0,0,1
Arsen Gitinov,Russia,2000,Wrestling,0,1,0,1
Yoel Romero,Cuba,2000,Wrestling,0,1,0,1
Murad Umakhanov,Russia,2000,Wrestling,1,0,0,1
Anatolii Cîrîcu,Moldova,2012,Weightlifting,0,0,1,1
Roxana Cocos,Romania,2012,Weightlifting,0,1,0,1
Eko Irawan,Indonesia,2012,Weightlifting,0,0,1,1
Aleksandr Ivanov,Russia,2012,Weightlifting,0,1,0,1
Yuliya Kalina,Ukraine,2012,Weightlifting,0,0,1,1
Kim Un-Guk,North Korea,2012,Weightlifting,1,0,0,1
Lin Qingfeng,China,2012,Weightlifting,1,0,0,1
Navab Nasirshelal,Iran,2012,Weightlifting,0,1,0,1
Wu Jingbiao,China,2012,Weightlifting,0,1,0,1
Adrian Zielinski,Poland,2012,Weightlifting,1,0,0,1
Khadzhimurat Akkayev,Russia,2008,Weightlifting,0,0,1,1
Nataliya Davydova,Ukraine,2008,Weightlifting,0,0,1,1
Hoàng Anh Tu?n,Vietnam,2008,Weightlifting,0,1,0,1
Lu Ying-Chi,Chinese Taipei,2008,Weightlifting,0,0,1,1
Pak Hyon-Suk,North Korea,2008,Weightlifting,1,0,0,1
Sa Jae-Hyeok,South Korea,2008,Weightlifting,1,0,0,1
Eszter Krutzler,Hungary,2004,Weightlifting,0,1,0,1
Israel José Rubio,Venezuela,2004,Weightlifting,0,0,1,1
Raema Lisa Rumbewas,Indonesia,2004,Weightlifting,0,1,0,1
Nataliya Skakun,Ukraine,2004,Weightlifting,1,0,0,1
Chen Xiaomin,China,2000,Weightlifting,1,0,0,1
Soraya Jiménez,Mexico,2000,Weightlifting,1,0,0,1
Alan Tsagaev,Bulgaria,2000,Weightlifting,0,1,0,1
Patty Cardenas,United States,2008,Waterpolo,0,1,0,1
Taniele Gofers,Australia,2008,Waterpolo,0,0,1,1
Alison Gregorka,United States,2008,Waterpolo,0,1,0,1
Brittany Hayes,United States,2008,Waterpolo,0,1,0,1
Tim Hutten,United States,2008,Waterpolo,0,1,0,1
Duško Pijetlovic,Serbia,2008,Waterpolo,0,0,1,1
Nikola Raden,Serbia,2008,Waterpolo,0,0,1,1
Mia Santoromito,Australia,2008,Waterpolo,0,0,1,1
Yasemin Smit,Netherlands,2008,Waterpolo,1,0,0,1
Peter Varellas,United States,2008,Waterpolo,0,1,0,1
Elsie Windes,United States,2008,Waterpolo,0,1,0,1
Aleksandr Fedorov,Russia,2004,Waterpolo,0,0,1,1
Vladimir Gojkovic,Serbia and Montenegro,2004,Waterpolo,0,1,0,1
Ericka Lorenz,United States,2004,Waterpolo,0,0,1,1
Andrey Rekechinsky,Russia,2004,Waterpolo,0,0,1,1
Roman Balashov,Russia,2000,Waterpolo,0,1,0,1
Danilo Ikodinovic,Serbia and Montenegro,2000,Waterpolo,0,0,1,1
Gergo Kiss,Hungary,2000,Waterpolo,1,0,0,1
Gail Miller,Australia,2000,Waterpolo,1,0,0,1
Bernice Orwig,United States,2000,Waterpolo,0,1,0,1
Coralie Simmons,United States,2000,Waterpolo,0,1,0,1
Tandara Caixeta,Brazil,2012,Volleyball,1,0,0,1
Megan Hodge,United States,2012,Volleyball,0,1,0,1
Dmitry Musersky,Russia,2012,Volleyball,1,0,0,1
Aleksey Obmochayev,Russia,2012,Volleyball,1,0,0,1
Natália Pereira,Brazil,2012,Volleyball,1,0,0,1
Ivan Zaytsev,Italy,2012,Volleyball,0,0,1,1
Fabiana,Brazil,2008,Volleyball,1,0,0,1
Kim Glass,United States,2008,Volleyball,0,1,0,1
Sergey Grankin,Russia,2008,Volleyball,0,0,1,1
Aleksandr Volkov,Russia,2008,Volleyball,0,0,1,1
Sergey Baranov,Russia,2004,Volleyball,0,0,1,1
Dante,Brazil,2004,Volleyball,1,0,0,1
Yekaterina Gamova,Russia,2004,Volleyball,0,1,0,1
Liu Yanan,China,2004,Volleyball,1,0,0,1
Tai Aguero,Cuba,2000,Volleyball,1,0,0,1
Andrija Geric,Serbia and Montenegro,2000,Volleyball,1,0,0,1
Ai Fukuhara,Japan,2012,Table Tennis,0,1,0,1
Ma Long,China,2012,Table Tennis,1,0,0,1
Christian Süß,Germany,2008,Table Tennis,0,1,0,1
Niu Jianfeng,China,2004,Table Tennis,0,0,1,1
Yang Ying,China,2000,Table Tennis,0,1,0,1
Emma Moffatt,Australia,2008,Triathlon,0,0,1,1
Sven Riederer,Switzerland,2004,Triathlon,0,0,1,1
Dong Dong,China,2012,Trampoline,1,0,0,1
He Wenna,China,2012,Trampoline,0,0,1,1
Lu Chunlong,China,2012,Trampoline,0,0,1,1
Rosie MacLennan,Canada,2012,Trampoline,1,0,0,1
Dmitry Ushakov,Russia,2012,Trampoline,0,1,0,1
Henrik Stehlik,Germany,2004,Trampoline,0,0,1,1
Ji Wallace,Australia,2000,Trampoline,0,1,0,1
Anthony Obame,Gabon,2012,Taekwondo,0,1,0,1
Servet Tazegül,Turkey,2012,Taekwondo,1,0,0,1
Daynellis Montejo,Cuba,2008,Taekwondo,0,0,1,1
Karine Sergerie,Canada,2008,Taekwondo,0,1,0,1
Zhu Guo,China,2008,Taekwondo,0,0,1,1
Myriam Baverel,France,2004,Taekwondo,0,1,0,1
Trude Gundersen,Norway,2000,Taekwondo,0,1,0,1
Huang Chih-Hsiung,Chinese Taipei,2000,Taekwondo,0,0,1,1
Ángel Matos,Cuba,2000,Taekwondo,1,0,0,1
Daniel Trenton,Australia,2000,Taekwondo,0,1,0,1
Juan Martín del Potro,Argentina,2012,Tennis,0,0,1,1
Stanislas Wawrinka,Switzerland,2008,Tennis,1,0,0,1
Yan Zi,China,2008,Tennis,0,0,1,1
Vera Zvonaryova,Russia,2008,Tennis,0,0,1,1
Alicia Molik,Australia,2004,Tennis,0,0,1,1
Darya Korobova,Russia,2012,Synchronized Swimming,1,0,0,1
Aleksandra Patskevich,Russia,2012,Synchronized Swimming,1,0,0,1
Alla Shishkina,Russia,2012,Synchronized Swimming,1,0,0,1
Anzhelika Timanina,Russia,2012,Synchronized Swimming,1,0,0,1
Naoko Kawashima,Japan,2004,Synchronized Swimming,0,1,0,1
Elvira Khasyanova,Russia,2004,Synchronized Swimming,1,0,0,1
Claire Carver-Dias,Canada,2000,Synchronized Swimming,0,0,1,1
Jacinthe Taillon,Canada,2000,Synchronized Swimming,0,0,1,1
Tyler Clary,United States,2012,Swimming,1,0,0,1
Ryan Cochrane,Canada,2012,Swimming,0,1,0,1
Claire Donahue,United States,2012,Swimming,1,0,0,1
Conor Dwyer,United States,2012,Swimming,1,0,0,1
Sergey Fesikov,Russia,2012,Swimming,0,0,1,1
Martina Grimaldi,Italy,2012,Swimming,0,0,1,1
Dániel Gyurta,Hungary,2012,Swimming,1,0,0,1
Michael Jamieson,Great Britain,2012,Swimming,0,1,0,1
Nikita Lobintsev,Russia,2012,Swimming,0,0,1,1
Lu Ying,China,2012,Swimming,0,1,0,1
Lu Zhiwu,China,2012,Swimming,0,0,1,1
Ryo Tateishi,Japan,2012,Swimming,0,0,1,1
Dave Davies,Great Britain,2008,Swimming,0,1,0,1
Takuro Fujii,Japan,2008,Swimming,0,0,1,1
Alexander Dale Oen,Norway,2008,Swimming,0,1,0,1
Ben Wildman-Tobriner,United States,2008,Swimming,1,0,0,1
Yang Yu,China,2008,Swimming,0,1,0,1
Federico Cappellazzo,Italy,2004,Swimming,0,0,1,1
Razvan Florea,Romania,2004,Swimming,0,0,1,1
Janina-Kristin Götz,Germany,2004,Swimming,0,0,1,1
Yuko Nakanishi,Japan,2004,Swimming,0,0,1,1
Erik Vendt,United States,2004,Swimming,0,1,0,1
Klaas-Erik Zwering,Netherlands,2004,Swimming,0,1,0,1
Lindsay Benko,United States,2000,Swimming,1,0,0,1
Ryan Mitchell,Australia,2000,Swimming,0,1,0,1
Thomas Rupprath,Germany,2000,Swimming,0,0,1,1
Sarah Ryan,Australia,2000,Swimming,0,1,0,1
Denys Sylantiev,Ukraine,2000,Swimming,0,1,0,1
Josh Watson,Australia,2000,Swimming,0,1,0,1
Nina Zhivanevskaya,Spain,2000,Swimming,0,0,1,1
Martijn Zuijdweg,Netherlands,2000,Swimming,0,0,1,1
François Hamelin,Canada,2010,Short-Track Speed Skating,1,0,0,1
Kalyna Roberge,Canada,2010,Short-Track Speed Skating,0,1,0,1
O Se-Jong,South Korea,2006,Short-Track Speed Skating,1,0,0,1
An Yulong,China,2002,Short-Track Speed Skating,0,0,1,1
Feng Kai,China,2002,Short-Track Speed Skating,0,0,1,1
Sun Dandan,China,2002,Short-Track Speed Skating,0,1,0,1
Håvard Bøkko,Norway,2010,Speed Skating,0,0,1,1
Masako Hozumi,Japan,2010,Speed Skating,0,1,0,1
Nao Kodaira,Japan,2010,Speed Skating,0,1,0,1
Ireen Wüst,Netherlands,2010,Speed Skating,1,0,0,1
Luiza Zlotkowska,Poland,2010,Speed Skating,0,0,1,1
Yekaterina Abramova,Russia,2006,Speed Skating,0,0,1,1
Jens Boden,Germany,2002,Speed Skating,0,0,1,1
Monica Abbott,United States,2008,Softball,0,1,0,1
Ayumi Karino,Japan,2008,Softball,1,0,0,1
Caitlin Lowe,United States,2008,Softball,0,1,0,1
Jennie Finch,United States,2004,Softball,1,0,0,1
Tairia Flowers,United States,2004,Softball,1,0,0,1
Jessica Mendoza,United States,2004,Softball,1,0,0,1
Yuki Sato,Japan,2004,Softball,0,0,1,1
Christie Ambrosi,United States,2000,Softball,1,0,0,1
Crystl Bustos,United States,2000,Softball,1,0,0,1
Fiona Hanes-Crawford,Australia,2000,Softball,0,0,1,1
Danielle Henderson,United States,2000,Softball,1,0,0,1
Simmone Morrow,Australia,2000,Softball,0,0,1,1
Juri Takayama,Japan,2000,Softball,0,1,0,1
Torah Bright,Australia,2010,Snowboarding,1,0,0,1
Hannah Teter,United States,2010,Snowboarding,0,1,0,1
Shaun White,United States,2010,Snowboarding,1,0,0,1
Danny Kass,United States,2006,Snowboarding,0,1,0,1
Ross Powers,United States,2002,Snowboarding,1,0,0,1
Thomas Morgenstern,Austria,2010,Ski Jumping,1,0,0,1
Michael Uhrmann,Germany,2002,Ski Jumping,1,0,0,1
Peter Žonta,Slovenia,2002,Ski Jumping,0,0,1,1
Vincent Hancock,United States,2012,Shooting,1,0,0,1
Yi Siling,China,2012,Shooting,1,0,0,1
Anthony Terras,France,2008,Shooting,0,0,1,1
Zhu Qinan,China,2008,Shooting,0,1,0,1
Matt Emmons,United States,2004,Shooting,1,0,0,1
Christian Lusch,Germany,2004,Shooting,0,1,0,1
Cai Yalin,China,2000,Shooting,1,0,0,1
Richard Faulds,Great Britain,2000,Shooting,1,0,0,1
Peter Lang,Denmark,2012,Sailing,0,0,1,1
Max Salminen,Sweden,2012,Sailing,1,0,0,1
Blair Tuke,New Zealand,2012,Sailing,0,1,0,1
Dorian van Rijsselberge,Netherlands,2012,Sailing,1,0,0,1
Merel Witteveen,Netherlands,2008,Sailing,0,1,0,1
Svitlana Matevusheva,Ukraine,2004,Sailing,0,1,0,1
Ben Ainslie,Great Britain,2000,Sailing,1,0,0,1
Amelie Lux,Germany,2000,Sailing,0,1,0,1
Margriet Matthijsse,Netherlands,2000,Sailing,0,1,0,1
Jacob Barsøe,Denmark,2012,Rowing,0,0,1,1
Joshua Dunkley-Smith,Australia,2012,Rowing,0,1,0,1
Tim Grohmann,Germany,2012,Rowing,1,0,0,1
Natalie Mastracci,Canada,2012,Rowing,0,1,0,1
Maximilian Reinelt,Germany,2012,Rowing,1,0,0,1
Julia Richter,Germany,2012,Rowing,0,1,0,1
Taylor Ritzel,United States,2012,Rowing,1,0,0,1
Will Satch,Great Britain,2012,Rowing,0,0,1,1
Valent Sinkovic,Croatia,2012,Rowing,0,1,0,1
Cédric Berrest,France,2008,Rowing,0,0,1,1
Morten Jørgensen,Denmark,2008,Rowing,1,0,0,1
Annekatrin Thiele,Germany,2008,Rowing,0,1,0,1
Simone Venier,Italy,2008,Rowing,0,1,0,1
Konrad Wasielewski,Poland,2008,Rowing,1,0,0,1
Ben Cureton,Australia,2004,Rowing,0,1,0,1
Annemiek de Haan,Netherlands,2004,Rowing,0,0,1,1
Beau Hoopman,United States,2004,Rowing,1,0,0,1
Kerry Hore,Australia,2004,Rowing,0,0,1,1
Frances Houghton,Great Britain,2004,Rowing,0,1,0,1
Bruno Mascarenhas,Italy,2004,Rowing,0,0,1,1
Rebecca Sattin,Australia,2004,Rowing,0,0,1,1
Gijs Vermeulen,Netherlands,2004,Rowing,0,1,0,1
Buffy Alexander-Williams,Canada,2000,Rowing,0,0,1,1
Sebastian Bea,United States,2000,Rowing,0,1,0,1
Lorenzo Carboncini,Italy,2000,Rowing,0,1,0,1
Thibaud Chapelle,France,2000,Rowing,0,0,1,1
Rowley Douglas,Great Britain,2000,Rowing,1,0,0,1
Maria Dumitrache,Romania,2000,Rowing,1,0,0,1
Meike Evers,Germany,2000,Rowing,1,0,0,1
Igor Francetic,Croatia,2000,Rowing,0,0,1,1
Alastair Gordon,Australia,2000,Rowing,0,1,0,1
Marcel Hacker,Germany,2000,Rowing,0,0,1,1
Andrew Lindsay,Great Britain,2000,Rowing,1,0,0,1
Dirk Lippits,Netherlands,2000,Rowing,0,1,0,1
Simone Raineri,Italy,2000,Rowing,1,0,0,1
Christian Ryan,Australia,2000,Rowing,0,1,0,1
Alessio Sartori,Italy,2000,Rowing,1,0,0,1
Tomislav Smoljanovic,Croatia,2000,Rowing,0,0,1,1
Kieran West,Great Britain,2000,Rowing,1,0,0,1
Jason Lamy-Chappuis,France,2010,Nordic Combined,1,0,0,1
Georg Hettich,Germany,2002,Nordic Combined,0,1,0,1
Hannu Manninen,Finland,2002,Nordic Combined,1,0,0,1
Wolfgang Linger,Austria,2006,Luge,1,0,0,1
Arsen Galstyan,Russia,2012,Judo,1,0,0,1
Jo Jun-Ho,South Korea,2012,Judo,0,0,1,1
Felipe Kitadai,Brazil,2012,Judo,0,0,1,1
Ugo Legrand,France,2012,Judo,0,0,1,1
Riki Nakaya,Japan,2012,Judo,0,1,0,1
Automne Pavia,France,2012,Judo,0,0,1,1
Teddy Riner,France,2012,Judo,1,0,0,1
Oscar Braison,Cuba,2008,Judo,0,0,1,1
Henk Grol,Netherlands,2008,Judo,0,0,1,1
Soraya Haddad,Algeria,2008,Judo,0,0,1,1
Jeong Gyeong-Mi,South Korea,2008,Judo,0,0,1,1
Kim Jae-Beom,South Korea,2008,Judo,0,1,0,1
Lucija Polavder,Slovenia,2008,Judo,0,0,1,1
Yvonne Bönisch,Germany,2004,Judo,1,0,0,1
Choi Min-Ho,South Korea,2004,Judo,0,0,1,1
Lee Won-Hui,South Korea,2004,Judo,1,0,0,1
Yurisleidy Lupetey,Cuba,2004,Judo,0,0,1,1
Ayumi Tanimoto,Japan,2004,Judo,1,0,0,1
Yuki Yokosawa,Japan,2004,Judo,0,1,0,1
Zurab Zviadauri,Georgia,2004,Judo,1,0,0,1
Anna-Maria Gradante,Germany,2000,Judo,0,0,1,1
Aydyn Smagulov,Kyrgyzstan,2000,Judo,0,0,1,1
Tamerlan Tmenov,Russia,2000,Judo,0,0,1,1
Meghan Agosta,Canada,2010,Ice Hockey,1,0,0,1
Lisa Chesson,United States,2010,Ice Hockey,0,1,0,1
Anne Helin,Finland,2010,Ice Hockey,0,0,1,1
Jack Johnson,United States,2010,Ice Hockey,0,1,0,1
Erika Lawler,United States,2010,Ice Hockey,0,1,0,1
Shannon Szabados,Canada,2010,Ice Hockey,1,0,0,1
Nina Tikkinen,Finland,2010,Ice Hockey,0,0,1,1
Jinelle Zaugg-Siergiej,United States,2010,Ice Hockey,0,1,0,1
Cecilia Andersson,Sweden,2006,Ice Hockey,0,1,0,1
Julie Chu,United States,2006,Ice Hockey,0,0,1,1
Charlie Labonté,Canada,2006,Ice Hockey,1,0,0,1
Henrik Lundqvist,Sweden,2006,Ice Hockey,1,0,0,1
Carla MacLeod,Canada,2006,Ice Hockey,1,0,0,1
Isabelle Chartrand,Canada,2002,Ice Hockey,1,0,0,1
Pavel Datsyuk,Russia,2002,Ice Hockey,0,0,1,1
Oleg Kvasha,Russia,2002,Ice Hockey,0,0,1,1
Tara Mounsey,United States,2002,Ice Hockey,0,1,0,1
Sergey Samsonov,Russia,2002,Ice Hockey,0,0,1,1
Jenny Schmidgall-Potter,United States,2002,Ice Hockey,0,1,0,1
Kim St-Pierre,Canada,2002,Ice Hockey,1,0,0,1
Hayley Wickenheiser,Canada,2002,Ice Hockey,1,0,0,1
Billy Bakker,Netherlands,2012,Hockey,0,1,0,1
Eva de Goede,Netherlands,2012,Hockey,1,0,0,1
Bob de Voogd,Netherlands,2012,Hockey,0,1,0,1
Martin Häner,Germany,2012,Hockey,1,0,0,1
Rocio Sánchez,Argentina,2012,Hockey,0,1,0,1
Matthew Swann,Australia,2012,Hockey,0,0,1,1
Mink van der Weerden,Netherlands,2012,Hockey,0,1,0,1
Caia van Maasakker,Netherlands,2012,Hockey,1,0,0,1
David Alegre,Spain,2008,Hockey,0,1,0,1
Juan Fernández,Spain,2008,Hockey,0,1,0,1
Moritz Fürste,Germany,2008,Hockey,1,0,0,1
Gisi Kañevsky,Argentina,2008,Hockey,0,0,1,1
Fergus Kavanagh,Australia,2008,Hockey,0,0,1,1
Mark Knowles,Australia,2008,Hockey,0,0,1,1
Pan Fengzhen,China,2008,Hockey,0,1,0,1
Carla Rebecchi,Argentina,2008,Hockey,0,0,1,1
Benjamin Weß,Germany,2008,Hockey,1,0,0,1
Christopher Zeller,Germany,2008,Hockey,1,0,0,1
Geert-Jan Derikx,Netherlands,2004,Hockey,0,1,0,1
Nathan Eglington,Australia,2004,Hockey,1,0,0,1
Sole García,Argentina,2004,Hockey,0,0,1,1
Rob Hammond,Australia,2004,Hockey,1,0,0,1
Anke Kühn,Germany,2004,Hockey,1,0,0,1
Tibor Weißenborn,Germany,2004,Hockey,0,0,1,1
Lucha Aymar,Argentina,2000,Hockey,0,1,0,1
Minke Booij,Netherlands,2000,Hockey,0,0,1,1
Maripi Hernández,Argentina,2000,Hockey,0,1,0,1
Kim Jeong-Cheol,South Korea,2000,Hockey,0,1,0,1
Ceci Rognoni,Argentina,2000,Hockey,0,1,0,1
Julie Towers,Australia,2000,Hockey,1,0,0,1
Xavier Barachet,France,2012,Handball,1,0,0,1
Niclas Ekberg,Sweden,2012,Handball,0,1,0,1
Kim Ekdahl du Rietz,Sweden,2012,Handball,0,1,0,1
Manuel Štrlek,Croatia,2012,Handball,0,0,1,1
Luc Abalo,France,2008,Handball,1,0,0,1
Kari Aalvik Grimsbø,Norway,2008,Handball,1,0,0,1
Björgvin Gustavsson,Iceland,2008,Handball,0,1,0,1
Tonje Nøstvold,Norway,2008,Handball,1,0,0,1
Lyudmila Postnova,Russia,2008,Handball,0,1,0,1
Gøril Snorroeggen,Norway,2008,Handball,1,0,0,1
Song Hai-Rim,South Korea,2008,Handball,0,0,1,1
Víctor Tomás,Spain,2008,Handball,0,0,1,1
Emiliya Turey,Russia,2008,Handball,0,1,0,1
Mikhail Chipurin,Russia,2004,Handball,0,0,1,1
Choi Im-Jeong,South Korea,2004,Handball,0,1,0,1
Trine Jensen,Denmark,2004,Handball,1,0,0,1
Kim Cha-Yeon,South Korea,2004,Handball,0,1,0,1
Blaženko Lackovic,Croatia,2004,Handball,1,0,0,1
Henriette Mikkelsen,Denmark,2004,Handball,1,0,0,1
Rikke Skov,Denmark,2004,Handball,1,0,0,1
Igor Vori,Croatia,2004,Handball,1,0,0,1
Christian Zeitz,Germany,2004,Handball,0,1,0,1
Martin Boquist,Sweden,2000,Handball,0,1,0,1
Elisabeth Hilmo,Norway,2000,Handball,0,0,1,1
Mia Hundvin,Norway,2000,Handball,0,0,1,1
Anita Kulcsár,Hungary,2000,Handball,0,1,0,1
Dóra Lowy,Hungary,2000,Handball,0,1,0,1
Kristian Thomas,Great Britain,2012,Gymnastics,0,0,1,1
Koji Yamamuro,Japan,2012,Gymnastics,0,1,0,1
Zhang Chenglong,China,2012,Gymnastics,1,0,0,1
Oleksandr Vorobiov,Ukraine,2008,Gymnastics,0,0,1,1
Gervasio Deferr,Spain,2004,Gymnastics,1,0,0,1
Li Xiaopeng,China,2004,Gymnastics,0,0,1,1
Brett McClure,United States,2004,Gymnastics,0,1,0,1
Leszek Blanik,Poland,2000,Gymnastics,0,0,1,1
Dominique Dawes,United States,2000,Gymnastics,0,0,1,1
Yevgeny Podgorny,Russia,2000,Gymnastics,0,0,1,1
Dimosthenis Tambakos,Greece,2000,Gymnastics,0,1,0,1
Javier Cortés,Mexico,2012,Football,1,0,0,1
Leandro Damião,Brazil,2012,Football,0,1,0,1
Giovani dos Santos,Mexico,2012,Football,1,0,0,1
Marco Fabián,Mexico,2012,Football,1,0,0,1
Gi Seong-Yong,South Korea,2012,Football,0,0,1,1
Gu Ja-Cheol,South Korea,2012,Football,0,0,1,1
Hwang Seok-Ho,South Korea,2012,Football,0,0,1,1
Kim Gi-Hui,South Korea,2012,Football,0,0,1,1
Kaylyn Kyle,Canada,2012,Football,0,0,1,1
Lee Beom-Yeong,South Korea,2012,Football,0,0,1,1
Alex Morgan,United States,2012,Football,1,0,0,1
Neto,Brazil,2012,Football,0,1,0,1
Kelley O'Hara,United States,2012,Football,1,0,0,1
Park Jong-Wu,South Korea,2012,Football,0,0,1,1
Miguel Ponce,Mexico,2012,Football,1,0,0,1
Sandro,Brazil,2012,Football,0,1,0,1
Néstor Vidrio,Mexico,2012,Football,1,0,0,1
Femi Ajilore,Nigeria,2008,Football,0,1,0,1
Cristiane,Brazil,2008,Football,0,1,0,1
Diego,Brazil,2008,Football,0,0,1,1
Hernanes,Brazil,2008,Football,0,0,1,1
Annike Krahn,Germany,2008,Football,0,0,1,1
Ezequiel Lavezzi,Argentina,2008,Football,1,0,0,1
Anja Mittag,Germany,2008,Football,0,0,1,1
Thiago Neves,Brazil,2008,Football,0,0,1,1
Heather O'Reilly,United States,2008,Football,1,0,0,1
Renan,Brazil,2008,Football,0,0,1,1
Alex Silva,Brazil,2008,Football,0,0,1,1
Thiago Silva,Brazil,2008,Football,0,0,1,1
Rafael Sóbis,Brazil,2008,Football,0,0,1,1
José Sosa,Argentina,2008,Football,1,0,0,1
Pablo Zabaleta,Argentina,2008,Football,1,0,0,1
Diego Barreto,Paraguay,2004,Football,0,1,0,1
Andrea Barzagli,Italy,2004,Football,0,0,1,1
Pedro Benítez,Paraguay,2004,Football,0,1,0,1
Daniele Bonera,Italy,2004,Football,0,0,1,1
Nicolás Burdisso,Argentina,2004,Football,1,0,0,1
Andrés D'Alessandro,Argentina,2004,Football,1,0,0,1
Simone Del Nero,Italy,2004,Football,0,0,1,1
Celso Esquivel,Paraguay,2004,Football,0,1,0,1
Andrea Gasbarroni,Italy,2004,Football,0,0,1,1
Pablo Giménez,Paraguay,2004,Football,0,1,0,1
Luis González,Argentina,2004,Football,1,0,0,1
Mariano González,Argentina,2004,Football,1,0,0,1
Grazielle,Brazil,2004,Football,0,1,0,1
Julio Manzur,Paraguay,2004,Football,0,1,0,1
Emilio Martínez,Paraguay,2004,Football,0,1,0,1
Emiliano Moretti,Italy,2004,Football,0,0,1,1
Ivan Pelizzoli,Italy,2004,Football,0,0,1,1
Giampiero Pinzi,Italy,2004,Football,0,0,1,1
Clemente Rodríguez,Argentina,2004,Football,1,0,0,1
Mauro Rosales,Argentina,2004,Football,1,0,0,1
Giuseppe Sculli,Italy,2004,Football,0,0,1,1
David Albelda,Spain,2000,Football,0,1,0,1
Miguel Ángel Angulo,Spain,2000,Football,0,1,0,1
Francisco Arrué,Chile,2000,Football,0,0,1,1
Kristin Bekkevold,Norway,2000,Football,1,0,0,1
Ragnhild Gulbrandsen,Norway,2000,Football,1,0,0,1
David Henríquez,Chile,2000,Football,0,0,1,1
Silje Jørgensen,Norway,2000,Football,1,0,0,1
Lauren,Cameroon,2000,Football,1,0,0,1
Unni Lehn,Norway,2000,Football,1,0,0,1
Rodrigo Núñez,Chile,2000,Football,0,0,1,1
Anita Rapp,Norway,2000,Football,1,0,0,1
Ismael Ruiz,Spain,2000,Football,0,1,0,1
Toni,Spain,2000,Football,0,1,0,1
Unai,Spain,2000,Football,0,1,0,1
Meryl Davis,United States,2010,Figure Skating,0,1,0,1
Daisuke Takahashi,Japan,2010,Figure Skating,0,0,1,1
Jeff Buttle,Canada,2006,Figure Skating,0,0,1,1
Yevgeny Plyushchenko,Russia,2006,Figure Skating,1,0,0,1
Shen Xue,China,2002,Figure Skating,0,0,1,1
Irina Slutskaya,Russia,2002,Figure Skating,0,1,0,1
Marion Josserand,France,2010,Freestyle Skiing,0,0,1,1
Hannah Kearney,United States,2010,Freestyle Skiing,1,0,0,1
Li Nina,China,2006,Freestyle Skiing,0,1,0,1
Joe Pack,United States,2002,Freestyle Skiing,0,1,0,1
Giorgio Avola,Italy,2012,Fencing,1,0,0,1
Suguru Awaji,Japan,2012,Fencing,0,1,0,1
Gu Bon-Gil,South Korea,2012,Fencing,1,0,0,1
